Raw name,Mapped name,Normalized name,Language
agence n9,,agence n9,fr
agence nationale des frequences,,agence nationale des frequences,fr
agence pour la protection des programmes app,,agence pour la protection des programmes app,fr
agence pour la valorisation de la,,agence pour la valorisation de la,fr
agence reuter,,agence reuter,fr
agence sarec,,agence sarec,fr
agence step by step,,agence step by step,en
agence verywell,,agence verywell,en
agencia de certificacion en innovac,,agencia de certificacion en innovac,es
agencia efe,,agencia efe,es
agencia efe sa,,agencia efe sa,es
agencia estatal consejo superi,,agencia estatal consejo superi,es
agencia estatal consejo superior de investigaciones cientificas,,agencia estatal consejo superior de investigaciones cientificas,es
agencia estatal de meteorologia,,agencia estatal de meteorologia,it
agency group,,agency group,en
agency group ag,,agency group ag,en
agenium,,agenium,lt
agenium informatique  systemes,,agenium informatique  systemes,fr
agent fabrique sud ouest,,agent fabrique sud ouest,fr
agent3d ev,,agent3d ev,fr
agentur,,agentur,id
agentur fãr arbeit,,agentur fãr arbeit,de
agentur fuer arbeit,,agentur fuer arbeit,de
agentur fuer arbeit ingolstadt,,agentur fuer arbeit ingolstadt,de
agentur fuer informatik gmbh,,agentur fuer informatik gmbh,da
agentur junges herz,,agentur junges herz,nl
agentur junges herz  sk schulkurier gmbh,,agentur junges herz  sk schulkurier gmbh,de
agentur mediafusion,,agentur mediafusion,en
ageo geometres experts sas,,ageo geometres experts sas,ca
agerul industrias quimicas s l,,agerul industrias quimicas s l,pt
agerul industrias quimicas sl,,agerul industrias quimicas sl,pt
agf,,agf,cy
agfa graphics nv,,agfa graphics nv,en
agfa graphics nv zn deutschland,,agfa graphics nv zn deutschland,de
aggreko,,aggreko,no
aggreko iberia sa,,aggreko iberia sa,id
agh gerfahrgutseminare,,agh gerfahrgutseminare,de
agh gerfahrgutseminare luftverkehr,,agh gerfahrgutseminare luftverkehr,de
agh system,,agh system,en
agi,,agi,tl
agi ottobrunn,,agi ottobrunn,it
agi sk,,agi sk,tl
agi uk,,agi uk,id
agicom,,agicom,it
agicom sas,,agicom sas,pt
agie charmilles gmbh,,agie charmilles gmbh,fr
agifors treasurer,,agifors treasurer,en
agilcom sarl,,agilcom sarl,tl
agile maker france,,agile maker france,da
agilea,,agilea,ro
agilea conseil,,agilea conseil,ro
agilea formation,,agilea formation,en
agilent technologies,,agilent technologies,fr
agilent technologies france,,agilent technologies france,fr
agilent technologies sales,,agilent technologies sales,fr
agilent technologies sales  services gmbh  co kg,,agilent technologies sales  services gmbh  co kg,fr
agilent technologies spain sl,,agilent technologies spain sl,fr
agilergo consulting,,agilergo consulting,it
agilergo consulting gmbh,,agilergo consulting gmbh,it
agiliad technologies private,,agiliad technologies private,it
agilios personal gmbh,,agilios personal gmbh,it
agility logistics gmbh,,agility logistics gmbh,en
agility spain sa,,agility spain sa,tl
agility spain sa,,agility spain sa,tl
agiltech,,agiltech,it
aginnovations,,aginnovations,it
agio trabajo temporal sa,,agio trabajo temporal sa,es
agip,,agip,tl
agir soigner eduquer inserer,,agir soigner eduquer inserer,fr
agiroute,,agiroute,fr
agite,,agite,tl
agk hochleistungswerkstoffe gmbh,,agk hochleistungswerkstoffe gmbh,de
agl atlantique,,agl atlantique,fr
aglo,,aglo,tl
agmp,,agmp,tl
agn niederberghaus  partner gmbh,,agn niederberghaus  partner gmbh,de
agnes mentil,,agnes mentil,fr
ago ag energie anlagen,,ago ag energie anlagen,no
agomo services,,agomo services,es
agora akademie goitzsche,,agora akademie goitzsche,pl
agora akademie goitzsche gmbh,,agora akademie goitzsche gmbh,pl
agora clubs,,agora clubs,ca
agora consult,,agora consult,it
agora vita,,agora vita,it
agora voyages  wagram energie,,agora voyages  wagram energie,af
agoranet,,agoranet,it
agorize,,agorize,sl
agorize sas,,agorize sas,hr
agp abrasifs,,agp abrasifs,tl
agr  cst,,agr  cst,cy
agriaindustriepark gmbh,,agriaindustriepark gmbh,lt
agrimarkt versand gmbh,,agrimarkt versand gmbh,sv
agro landschafts  tiefbau,,agro landschafts  tiefbau,de
agro landschafts  tiefbau gmbh,,agro landschafts  tiefbau gmbh,de
agrolab labor gmbh,,agrolab labor gmbh,so
agrotop gmbh,,agrotop gmbh,pl
agrupacion local de taxis,,agrupacion local de taxis,es
ags four winds india,,ags four winds india,en
ags werbung,,ags werbung,de
agse,,agse,tl
agsschuettguttechnik gmbhcokg,,agsschuettguttechnik gmbhcokg,de
agsstellantriebe gmbh,,agsstellantriebe gmbh,de
agt  aktiengesellschaft fãr telekommunikation,,agt  aktiengesellschaft fãr telekommunikation,da
agt  aktiengesellschaft fuer telekommunikation,,agt  aktiengesellschaft fuer telekommunikation,da
agt aktiengesellschaft fuer,,agt aktiengesellschaft fuer,de
agt aktiengesellschaft fuer telekommunikation,,agt aktiengesellschaft fuer telekommunikation,da
agt busvermietung  touristik gmbh,,agt busvermietung  touristik gmbh,da
agtherm,,agtherm,en
agua y estructura sa,,agua y estructura sa,es
aguas de albacete sa,,aguas de albacete sa,es
aguas del puerto empresa munic,,aguas del puerto empresa munic,es
aguas del puerto empresa municipal,,aguas del puerto empresa municipal,es
aguiar quintana g,,aguiar quintana g,ca
aguilera ingenieros sa,,aguilera ingenieros sa,es
aguirre newman madrid sa,,aguirre newman madrid sa,cy
aguirre newman valoraciones y,,aguirre newman valoraciones y,es
agustawestland spa,,agustawestland spa,en
agustin mejias lopez servicios,,agustin mejias lopez servicios,es
agv nord,,agv nord,no
agwa,,agwa,cy
ah  akademie fuer fortbildung heidelberg,,ah  akademie fuer fortbildung heidelberg,de
ah  das immobilienhaus gbr,,ah  das immobilienhaus gbr,de
ah akademie fuer fortbildung heidelberg,,ah akademie fuer fortbildung heidelberg,de
ah china,,ah china,so
ah freising schowalter gmbh u co,,ah freising schowalter gmbh u co,de
ah international services ireland,,ah international services ireland,en
aha anders hebezeuge  anschlag,,aha anders hebezeuge  anschlag,de
aha anders hebezeuge und anschlagmittel inh,,aha anders hebezeuge und anschlagmittel inh,de
aha labs inc,,aha labs inc,so
aha labs inc,,aha labs inc,so
ahc benelux bv,,ahc benelux bv,id
ahc oberflaechentechnik gmbh,,ahc oberflaechentechnik gmbh,de
ahd real estate gmbh  co kg,,ahd real estate gmbh  co kg,en
ahe inc,,ahe inc,en
aheon corp,,aheon corp,en
ahi 33,,ahi 33,so
ahi 33 service de sante au travail,,ahi 33 service de sante au travail,fr
ahi corporate housing,,ahi corporate housing,en
ahis,,ahis,so
ahk,,ahk,so
ahlborn mess  regelungstechnik,,ahlborn mess  regelungstechnik,de
ahlborn mess und regelungs,,ahlborn mess und regelungs,de
ahlers  vogel,,ahlers  vogel,de
ahlhorn georg spedition,,ahlhorn georg spedition,en
ahmerkamp karl vechta gmbh  co kg,,ahmerkamp karl vechta gmbh  co kg,id
ahmetallverarbeitung gmbh,,ahmetallverarbeitung gmbh,de
ahnefeld moebellogistik gmbh,,ahnefeld moebellogistik gmbh,no
ahp,,ahp,so
ahp gesellschaft fãâ¼r informationsverarbeitung mbh,,ahp gesellschaft fãâ¼r informationsverarbeitung mbh,de
ahp gesellschaft fuer,,ahp gesellschaft fuer,de
ahp gmbh,,ahp gmbh,so
ahp merkle gmbh,,ahp merkle gmbh,af
ahrens absaugtechnik aat,,ahrens absaugtechnik aat,de
ahrens herrmann consulting,,ahrens herrmann consulting,en
ahrens herrmann consulting gmbh,,ahrens herrmann consulting gmbh,en
ahs gmbh,,ahs gmbh,so
ahs international,,ahs international,en
ahsab ev,,ahsab ev,et
ahts,,ahts,et
ai project,,ai project,lt
ai3,,ai3,lv
aia,,aia,fi
aia cuers pierrefeu,,aia cuers pierrefeu,ca
aiaa american institute of,,aiaa american institute of,en
aib gmbh,,aib gmbh,so
aic chile spa,,aic chile spa,ro
aic rotoplas spa,,aic rotoplas spa,lv
aicas gmbh,,aicas gmbh,en
aicia,,aicia,ca
aicon,,aicon,it
aicon 3d systems,,aicon 3d systems,fr
aicon 3d systems gmbh,,aicon 3d systems gmbh,en
aics protection,,aics protection,en
aics protection sarl,,aics protection sarl,en
aid technische dokumentationen,,aid technische dokumentationen,de
aida,,aida,cy
aida assodes industriels,,aida assodes industriels,et
aida assodes industriels,,aida assodes industriels,et
aidelsburger,,aidelsburger,da
aidimme,,aidimme,et
aido gmbh,,aido gmbh,cy
aig europe,,aig europe,fr
aig insurance company china limited,,aig insurance company china limited,en
aigle azur,,aigle azur,it
aigner kaffeetechnik,,aigner kaffeetechnik,de
aigner georg,,aigner georg,da
aigorinterlingua,,aigorinterlingua,en
aih,,aih,fi
aiic conference interpreter,,aiic conference interpreter,ro
ailb,,ailb,fi
ailbibfa,,ailbibfa,sw
aile medicale,,aile medicale,it
ailipu technology co ltd,,ailipu technology co ltd,en
aill,,aill,fi
ailtar engineering gmbh,,ailtar engineering gmbh,no
aim,,aim,lt
aim altitude,,aim altitude,et
aim altitude uk ltd,,aim altitude uk ltd,et
aim composites ltd,,aim composites ltd,pt
aim composites ltd,,aim composites ltd,pt
aim design co limited,,aim design co limited,it
aim design co ltd,,aim design co ltd,pt
aim design ltd,,aim design ltd,ca
aim engineering ltd,,aim engineering ltd,et
aim gesellschaft fuer angewandte,,aim gesellschaft fuer angewandte,de
aim gesellschaft fuer angewandte informatik,,aim gesellschaft fuer angewandte informatik,de
aim gmbh,,aim gmbh,pl
aim gmbh  gesellschaft fãr angewandte informatik,,aim gmbh  gesellschaft fãr angewandte informatik,de
aim gmbh  gesellschaft fuer angewandte informatik,,aim gmbh  gesellschaft fuer angewandte informatik,de
aim group international,,aim group international,en
aim infrarotmodule gmbh,,aim infrarotmodule gmbh,ro
aim mãnchen vertriebs gmbh,,aim mãnchen vertriebs gmbh,de
aim muenchen vertriebs gmbh,,aim muenchen vertriebs gmbh,de
aim outsourcing consultants private,,aim outsourcing consultants private,en
aim uk,,aim uk,lv
aimen,,aimen,fi
aimen  asociacion de investigacion metalurgica de,,aimen  asociacion de investigacion metalurgica de,es
aimess products gmbh,,aimess products gmbh,en
aimess services gmbh,,aimess services gmbh,en
aimgesellschaft f,,aimgesellschaft f,de
aimme,,aimme,fi
aimms bv,,aimms bv,lv
aimplas,,aimplas,lv
aimplas  instituto tecnologico,,aimplas  instituto tecnologico,it
aimt sgi sas,,aimt sgi sas,lv
ain publicationsbusiness jet traveler,,ain publicationsbusiness jet traveler,fr
ain surfatec,,ain surfatec,ro
aio,,aio,it
aip,,aip,lt
aip consulting muenchen gmbh,,aip consulting muenchen gmbh,en
aip sintex np group,,aip sintex np group,fr
aippi  deutsche landesgruppe der aippi,,aippi  deutsche landesgruppe der aippi,de
aipssie,,aipssie,lt
ais,,ai,fi
ais group  talent development,,ais group  talent development,fr
ais group talent development sl,,ais group talent development sl,fr
ais management,,ais management,fr
ais management gmbh,,ais management gmbh,nl
aisac inc,,aisac inc,fr
aisci ident systeme gmbh,,aisci ident systeme gmbh,fr
aislamientos suaval,,aislamientos suaval,lt
aismt 13,,aismt 13,lv
aisp metra,,aisp metra,lt
ait austrian institute of,,ait austrian institute of,en
aitex,,aitex,fr
aitiip,,aitiip,fi
aix marseille universite,,aix marseille universite,fr
aixcellence gmbh,,aixcellence gmbh,fr
aj domaines sas,,aj domaines sas,lv
aj field electrical and mechanical,,aj field electrical and mechanical,en
aj field electrical ltd,,aj field electrical ltd,ro
aj fromm praezisionsmaschinen gmbh,,aj fromm praezisionsmaschinen gmbh,en
aj produkte,,aj produkte,sk
aj service,,aj service,hr
ajjk consulting limited,,ajjk consulting limited,en
ajlevin company inc,,ajlevin company inc,en
ajpae,,ajpae,sl
ajs contracting,,ajs contracting,es
aju incentive,,aju incentive,hr
ajuva safety,,ajuva safety,fi
ajva  umzugs  transportlogistik gmbh,,ajva  umzugs  transportlogistik gmbh,hr
ajw group,,ajw group,pl
ajw technique inc,,ajw technique inc,fr
ak,,ak,id
ak produktionstechnik,,ak produktionstechnik,cs
ak schweisstechnik gmbh,,ak schweisstechnik gmbh,de
aka performance,,aka performance,id
akademie aktiv gmbh,,akademie aktiv gmbh,sv
akademie der bayerischen presse ev,,akademie der bayerischen presse ev,de
akademie der deutschen medien,,akademie der deutschen medien,de
akademie der deutschen medien ggmbh,,akademie der deutschen medien ggmbh,de
akademie f fuehrungskraefte,,akademie f fuehrungskraefte,da
akademie f internat rechnungs,,akademie f internat rechnungs,de
akademie f internat rechnungs,,akademie f internat rechnungs,de
akademie f internat rechnungs,,akademie f internat rechnungs,de
akademie f sekretariat und,,akademie f sekretariat und,id
akademie fãâ¼r lasersicherheit berlin,,akademie fãâ¼r lasersicherheit berlin,de
akademie fãr fãhrungskrãfte,,akademie fãr fãhrungskrãfte,sv
akademie fãr lasersicherheit,,akademie fãr lasersicherheit,de
akademie fãr sekretariat und bãromanagement,,akademie fãr sekretariat und bãromanagement,id
akademie fuer fuehrungskraefte,,akademie fuer fuehrungskraefte,da
akademie fuer innovatives management,,akademie fuer innovatives management,da
akademie fuer internationale rechnungslegung,,akademie fuer internationale rechnungslegung,de
akademie fuer lasersicherheit,,akademie fuer lasersicherheit,de
akademie fuer publizistik,,akademie fuer publizistik,lv
akademie fuer sekretariat und bueromanagement,,akademie fuer sekretariat und bueromanagement,da
akademie fuer sicherheit,,akademie fuer sicherheit,de
akademie fuer sozialmedizin berlin,,akademie fuer sozialmedizin berlin,tr
akademie fuer wissenschaft,,akademie fuer wissenschaft,de
akademie fur die deutsche wirtschaft gmbh,,akademie fur die deutsche wirtschaft gmbh,de
akademie schoenbrunn,,akademie schoenbrunn,de
akademiehotel rastede,,akademiehotel rastede,et
akaflieg muenchen e v,,akaflieg muenchen e v,de
akajoule,,akajoule,fi
akamai technologies sarl,,akamai technologies sarl,lt
akappstemmann bv,,akappstemmann bv,sv
akbevent gmbh  cokg,,akbevent gmbh  cokg,hu
akcaktenvernichtung,,akcaktenvernichtung,de
akeo plus,,akeo plus,lt
akerman senterfitt,,akerman senterfitt,no
akeros,,akeros,hu
akheros,,akheros,hu
akheros sas,,akheros sas,tl
aki gmbh,,aki gmbh,pl
akiani,,akiani,sw
akidoor automatisme,,akidoor automatisme,et
akif bektasevic gebaeudereinigung,,akif bektasevic gebaeudereinigung,de
akin gump strauss hauer  feld llp,,akin gump strauss hauer  feld llp,de
akira mecaturbines,,akira mecaturbines,id
akisteel,,akisteel,et
akk id,,akk id,hu
akka,,akka,fi
akka consulting,,akka consulting,fi
akka development uk,,akka development uk,no
akka development uk limited,,akka development uk limited,fi
akka documentaire,,akka documentaire,id
akka germany gmbh,,akka germany gmbh,id
akka group,,akka group,af
akka group north america inc,,akka group north america inc,en
akka group north america inc,,akka group north america inc,en
akka groupe amerique du nord inc,,akka groupe amerique du nord inc,fr
akka high tech,,akka high tech,en
akka is,,akka is,fi
akka is  groupe akka technologies,,akka is  groupe akka technologies,af
akka informatique  systemes,,akka informatique  systemes,fr
akka informatique et systemes,,akka informatique et systemes,fr
akka ing doc,,akka ing doc,id
akka ingãânierie documentaire,,akka ingãânierie documentaire,ro
akka ingenierie documentaire,,akka ingenierie documentaire,nl
akka ingenierie mecanique,,akka ingenierie mecanique,af
akka ingenierie produit,,akka ingenierie produit,af
akka middle east,,akka middle east,et
akka middle east dmcc,,akka middle east dmcc,et
akka middle east fzco,,akka middle east fzco,et
akka octogon gmbh,,akka octogon gmbh,tl
akka technologie,,akka technologie,sk
akka technologies,,akka technologies,sk
akka technologies beijing co ltd,,akka technologies beijing co ltd,nl
akka technologies spain,,akka technologies spain,lt
akkey,,akkey,hu
akkhrutha technocrats ltd,,akkhrutha technocrats ltd,en
akku power gmbh,,akku power gmbh,pl
akku sys akkumulator und batterietechnik,,akku sys akkumulator und batterietechnik,id
akku und batteriehandel oliver,,akku und batteriehandel oliver,no
akku und batteriehandel oliver heib,,akku und batteriehandel oliver heib,no
akkuhandel  reparatur,,akkuhandel  reparatur,id
akkuline,,akkuline,et
akkuplusde,,akkuplusde,et
akkushop de,,akkushop de,sq
akmtore gmbh,,akmtore gmbh,sq
ako armaturen  separations gmbh,,ako armaturen  separations gmbh,id
ako reinigungsbetriebe,,ako reinigungsbetriebe,de
akon werkzeuge gmbh  co kg,,akon werkzeuge gmbh  co kg,pl
akracing e k,,akracing e k,lt
akrobit software gmbh,,akrobit software gmbh,pl
aksmesstechnik gmbh,,aksmesstechnik gmbh,de
akteos,,akteos,cs
aktor interactive,,aktor interactive,en
aktor interactive sa,,aktor interactive sa,en
aktors o,,aktors o,sk
akts ag,,akts ag,lv
akustikbãro oldenburg,,akustikbãro oldenburg,et
akustike,,akustike,et
akvola technologies gmbh,,akvola technologies gmbh,sk
akzent hotel,,akzent hotel,hu
akzent hotel roter lwe,,akzent hotel roter lwe,nl
akzent hotel schroeder,,akzent hotel schroeder,nl
akzent hotel zur einkehr,,akzent hotel zur einkehr,de
akzente kommunikation,,akzente kommunikation,no
akzente kommunikation und beratung gmbh,,akzente kommunikation und beratung gmbh,id
akzo nobel,,akzo nobel,sk
akzo nobel car refinishes bv,,akzo nobel car refinishes bv,en
al ain frames,,al ain frames,ca
al andalus sxxi sl,,al andalus sxxi sl,ca
al industrie,,al industrie,ro
al peasley photographer,,al peasley photographer,en
al saad rent a car co,,al saad rent a car co,ca
al tamimi  company,,al tamimi  company,ca
al technology,,al technology,cy
alabama camellia society llc,,alabama camellia society llc,it
alabama hotels master tenant llc,,alabama hotels master tenant llc,ca
alabama industrial development,,alabama industrial development,ca
alabama industrial products llc,,alabama industrial products llc,ca
alabama kidney foundation inc,,alabama kidney foundation inc,en
alabama pals,,alabama pals,tl
alabama power company,,alabama power company,tl
alabama scale  instrument inc,,alabama scale  instrument inc,ro
alabama state society,,alabama state society,it
alain bonadei,,alain bonadei,cy
alain ducos les sentiers du lac,,alain ducos les sentiers du lac,fr
alain ernoult,,alain ernoult,fi
alain schepens class moto,,alain schepens class moto,en
alamo,,alamo,tl
alamo flag inc,,alamo flag inc,tl
alan grey,,alan grey,tl
alan rutter ltd,,alan rutter ltd,no
alans skip hire limited,,alans skip hire limited,en
alans skip hire ltd,,alans skip hire ltd,no
alava ingenieros sa,,alava ingenieros sa,af
alava ingenieros sa,,alava ingenieros sa,lt
alava ingenieros sa,,alava ingenieros sa,lt
alava ingenieros sa,,alava ingenieros sa,af
alba dept of conserv and natl,,alba dept of conserv and natl,en
alba facility solutions gmbh,,alba facility solutions gmbh,en
alba metall nord gmbh,,alba metall nord gmbh,it
alba nord gmbh,,alba nord gmbh,tl
albadat consultora sl,,albadat consultora sl,ro
albagli zaliasnik sa,,albagli zaliasnik sa,hr
albany door systems gmbh,,albany door systems gmbh,en
albar et partners,,albar et partners,no
albar partners,,albar partners,no
albarone,,albarone,it
albatros engineering gmbh,,albatros engineering gmbh,tl
albatros promotora empresarial sa,,albatros promotora empresarial sa,es
albatros viajes incentivos sa,,albatros viajes incentivos sa,lt
albatrossprojects gmbh,,albatrossprojects gmbh,ca
albeck  zehden hotel gmbh  co kg,,albeck  zehden hotel gmbh  co kg,nl
albelektric huber gmbh,,albelektric huber gmbh,de
albert fezer maschinenfabrik gmbh,,albert fezer maschinenfabrik gmbh,de
albert lankl,,albert lankl,no
albert lankl bustouristik,,albert lankl bustouristik,no
albert laux praezisionswerkzeugbau gmbh,,albert laux praezisionswerkzeugbau gmbh,de
albert obermayr,,albert obermayr,en
albert schnetz ek,,albert schnetz ek,de
albert schumann gmbh,,albert schumann gmbh,de
albert sewerin,,albert sewerin,de
albert transport,,albert transport,no
albert ziegler gmbh,,albert ziegler gmbh,de
alberteinsteinrealschule,,alberteinsteinrealschule,de
alberti ulrich von,,alberti ulrich von,de
albertludwigsuniversitaet imtek,,albertludwigsuniversitaet imtek,de
alberto badiola,,alberto badiola,it
alberto jorge carmena,,alberto jorge carmena,es
alberto molina,,alberto molina,it
albion alloys ltd,,albion alloys ltd,en
albis hitec leasing ag,,albis hitec leasing ag,en
albko metallhandel gmbh  co kg,,albko metallhandel gmbh  co kg,it
albrecht catering,,albrecht catering,en
albrecht stãrken gmbh  co kg,,albrecht stãrken gmbh  co kg,nl
albrechtshof hotel betriebs,,albrechtshof hotel betriebs,de
albrechtshof hotel betriebs gm,,albrechtshof hotel betriebs gm,de
albrechtshof hotel betriebs gmbh,,albrechtshof hotel betriebs gmbh,en
albret pourteau,,albret pourteau,fr
albright stonebridge group llc,,albright stonebridge group llc,en
alcaide engineering limited,,alcaide engineering limited,et
alcaner 2000 sl,,alcaner 2000 sl,it
alcatel lucent,,alcatel lucent,ro
alcea,,alcea,ro
alcen,,alcen,it
alcereco inc,,alcereco inc,it
alchemize ltd,,alchemize ltd,de
alcimed,,alcimed,it
alcimed sas,,alcimed sas,it
alcoa,,alcoa,ro
alcoa fasteners sas,,alcoa fasteners sas,ca
alcoa fastening systems,,alcoa fastening systems,da
alcoa fixations simmonds sas,,alcoa fixations simmonds sas,en
alcom industriesysteme gmbh,,alcom industriesysteme gmbh,en
alcor system,,alcor system,en
alcore technologies,,alcore technologies,it
alcrys fluidcontrol  services,,alcrys fluidcontrol  services,es
alcuin,,alcuin,ro
ald automotive,,ald automotive,it
ald automotive  temsys,,ald automotive  temsys,en
ald automotive sa,,ald automotive sa,it
ald automotive sau,,ald automotive sau,ro
ald automotive temsys,,ald automotive temsys,en
aldacom gmbh,,aldacom gmbh,pt
alders avionics  defence gmbh,,alders avionics  defence gmbh,ca
alders electronic gmbh,,alders electronic gmbh,ca
aldershot town football club,,aldershot town football club,en
aldesign,,aldesign,da
aldi verlag  albert dietl gmbh,,aldi verlag  albert dietl gmbh,af
aldini lda,,aldini lda,et
alefeld avocat  rechtsanwalt,,alefeld avocat  rechtsanwalt,en
alegrah,,alegrah,hu
alejandro bayon sandoval,,alejandro bayon sandoval,tl
aleksander rabczuk,,aleksander rabczuk,tr
alenia aermacchi spa,,alenia aermacchi spa,it
alerion societe d avocats,,alerion societe d avocats,it
alerion societe davocats,,alerion societe davocats,it
aleris aluminum zhenjiang co ltd,,aleris aluminum zhenjiang co ltd,ro
aleris rolled products,,aleris rolled products,en
aleris rolled products germany,,aleris rolled products germany,en
alesia distribution,,alesia distribution,it
alessio castello,,alessio castello,it
alex breuer gmbh,,alex breuer gmbh,ca
alex gmbh,,alex gmbh,so
alex gmbh itsysteme,,alex gmbh itsysteme,en
alexander am zoo,,alexander am zoo,nl
alexander h levis,,alexander h levis,da
alexander hughes,,alexander hughes,en
alexander linke softwareberatung,,alexander linke softwareberatung,de
alexander nolte,,alexander nolte,ca
alexander renner gmbh  co kg,,alexander renner gmbh  co kg,en
alexander von humboldt  das schiff,,alexander von humboldt  das schiff,de
alfa aesar gmbh  co kg,,alfa aesar gmbh  co kg,cy
alfa gmbh,,alfa gmbh,cy
alfa precision casting sa,,alfa precision casting sa,en
alfa sprachreisen gmbh,,alfa sprachreisen gmbh,de
alfa umzuege gmbh  co kg,,alfa umzuege gmbh  co kg,pt
alfabet ag,,alfabet ag,da
alfacoustic,,alfacoustic,en
alfacoustic ercuis,,alfacoustic ercuis,ro
alfacoustic sa,,alfacoustic sa,ro
alfagomma germany gmbh,,alfagomma germany gmbh,hu
alfahosting gmbh,,alfahosting gmbh,tl
alfamedica policlinica,,alfamedica policlinica,it
alfamo,,alfamo,sw
alfaro montero antonio,,alfaro montero antonio,it
alfatronix ltd,,alfatronix ltd,ca
alfol aluminiumfolien,,alfol aluminiumfolien,ro
alfol gmbh,,alfol gmbh,cy
alfons original schweizer raclette,,alfons original schweizer raclette,de
alfonso e francesca colombo,,alfonso e francesca colombo,it
alfonso e francesca colombo notai,,alfonso e francesca colombo notai,it
alfred arnold verladesysteme,,alfred arnold verladesysteme,da
alfred demharter gmbh,,alfred demharter gmbh,da
alfred doepker gmbh co kg bauunternehmen,,alfred doepker gmbh co kg bauunternehmen,en
alfred feige gmbh,,alfred feige gmbh,cy
alfred hiller,,alfred hiller,da
alfred jaeger gmbh,,alfred jaeger gmbh,da
alfred kãrcher vertriebsgmbh,,alfred kãrcher vertriebsgmbh,de
alfred kaercher vertriebsgmbh,,alfred kaercher vertriebsgmbh,de
alfred kaulfuss,,alfred kaulfuss,da
alfred konrad veith gmbh  co kg,,alfred konrad veith gmbh  co kg,en
alfred krcher vertriebsgmbh,,alfred krcher vertriebsgmbh,de
alfred kuhse gmbh,,alfred kuhse gmbh,et
alfred lehner gmbh,,alfred lehner gmbh,da
alfred schneider gmbh,,alfred schneider gmbh,de
alfred then,,alfred then,en
alfred traub,,alfred traub,en
alfred wegener institute,,alfred wegener institute,de
alfred wimmer gmbh,,alfred wimmer gmbh,en
alfredwegenerinstitut,,alfredwegenerinstitut,de
alfresco software ltd,,alfresco software ltd,en
alg gmbh,,alg gmbh,tl
alga unternehmensberatung,,alga unternehmensberatung,de
alga unternehmensberatung gmbh,,alga unternehmensberatung gmbh,de
algaunternehmensberatung gmbh,,algaunternehmensberatung gmbh,de
algeco,,algeco,ca
algeco construcciones modulares sl,,algeco construcciones modulares sl,es
algeco construcciones modulares slu,,algeco construcciones modulares slu,es
algeco construcciones modulares slu,,algeco construcciones modulares slu,es
algeco gmbh,,algeco gmbh,es
algitech,,algitech,ro
algo tech informatique,,algo tech informatique,fr
algorithmia,,algorithmia,cy
algoss systems,,algoss systems,no
algotech informatique,,algotech informatique,fr
algotech informatique,,algotech informatique,fr
alhj maas sl,,alhj maas sl,et
alhj manas sl,,alhj manas sl,tl
alho systembau gmbh,,alho systembau gmbh,sk
ali bashiri rad,,ali bashiri rad,so
aliage,,aliage,it
aliance developpement 1,,aliance developpement 1,fr
alibaba cloud computing co ltd,,alibaba cloud computing co ltd,es
alibert et fils,,alibert et fils,da
alicia hunsberger,,alicia hunsberger,de
alicona,,alicona,it
alidade,,alidade,pt
alienware,,alienware,nl
aliftrad sl,,aliftrad sl,sv
aligned vision,,aligned vision,da
alinea strategie conseil,,alinea strategie conseil,ro
alineadesign,,alineadesign,et
alinka media ltd,,alinka media ltd,id
alinka media ltd,,alinka media ltd,fi
alinox sa,,alinox sa,tl
alis,,ali,it
alis international,,alis international,en
alis technologie,,alis technologie,en
alison price  company ltd,,alison price  company ltd,en
alison price and company limited,,alison price and company limited,en
alitalia,,alitalia,it
alitalia societa aerea italiana s,,alitalia societa aerea italiana s,it
alithis,,alithis,en
alithis sarl,,alithis sarl,en
alix partner,,alix partner,ca
alix partners,,alix partners,ca
alixio,,alixio,ca
alixio change management,,alixio change management,nl
alixio change management sas,,alixio change management sas,nl
alixio mobilite,,alixio mobilite,it
alixpartners,,alixpartners,ca
alixpartners shanghai,,alixpartners shanghai,en
alixpartners ulc,,alixpartners ulc,ca
aljac fuelling components ltd,,aljac fuelling components ltd,ca
aljac gmbh,,aljac gmbh,sl
aljamil,,aljamil,et
aljamil sa,,aljamil sa,et
aljo aluminiumbau jonuscheit gmbh,,aljo aluminiumbau jonuscheit gmbh,ro
alkan,,alkan,so
alkan r et compagnie,,alkan r et compagnie,fr
alkan r et compagnie sa,,alkan r et compagnie sa,fr
alkan sas,,alkan sas,fi
alkoto  thomas hirn,,alkoto  thomas hirn,en
all,,all,it
all a bloom florist  gifts,,all a bloom florist  gifts,sv
all a bloom florist and gifts llc,,all a bloom florist and gifts llc,en
all contents,,all contents,it
all for one steeb ag,,all for one steeb ag,en
all lasertechnik gmbh,,all lasertechnik gmbh,de
all mac v6,,all mac v6,ca
all metal services limited,,all metal services limited,it
all metal services ltd,,all metal services ltd,ca
all occasions group,,all occasions group,en
all party parliamentary group,,all party parliamentary group,en
all products,,all products,en
all resort express,,all resort express,ca
all star adventures dba,,all star adventures dba,ca
all2work gmbh,,all2work gmbh,en
all4labels smart  secure gmbh,,all4labels smart  secure gmbh,ca
allard gmbh,,allard gmbh,it
allbuyone gmbh,,allbuyone gmbh,tl
allectra gmbh,,allectra gmbh,ca
allee hotel,,allee hotel,nl
alleehotel,,alleehotel,fi
